Name,Type,Date Range,URL
CA-NS2,ENF,2002-07-04 - 2005-08-21,http://doi.org/10.17190/AMF/1245999
US-Ne2,CRO,2002-07-04 - 2013-05-31,http://doi.org/10.17190/AMF/1246085
US-Me1,ENF,2004-06-19 - 2005-05-02,http://doi.org/10.1111/J.1365-2486.2007.01368.X
US-Lin,CRO,2010-03-09 - 2010-11-15,http://doi.org/10.17190/AMF/1246830
US-ONA,GRA,2016-04-15 - 2020-12-31,http://doi.org/10.17190/AMF/1660350
US-CF1,CRO,2017-06-26 - 2020-10-16,http://doi.org/10.17190/AMF/1543382
US-xDS,CVM,2019-02-04 - 2021-12-28,http://doi.org/10.17190/AMF/1671895
US-Wi3,DBF,2002-07-04 - 2004-10-04,http://doi.org/10.17190/AMF/1246018
US-Rwf,CSH,2015-06-03 - 2020-09-30,FLUXNET2015
IT-Tor,GRA,2008-06-23 - 2014-11-01,FLUXNET2015
CA-Ca1,ENF,2002-07-13 - 2009-11-01,http://doi.org/10.17190/AMF/1480300
US-Mpj,WSA,2008-03-18 - 2020-12-31,http://doi.org/10.17190/AMF/1246123
US-IB2,GRA,2004-10-07 - 2011-12-24,http://doi.org/10.17190/AMF/1246066
US-Srr,WET,2014-03-15 - 2017-09-29,http://doi.org/10.17190/AMF/1418685
AR-Vir,ENF,2010-11-25 - 2012-06-09,FLUXNET2015
CA-NS5,ENF,2002-07-04 - 2005-09-23,http://doi.org/10.17190/AMF/1246002
US-Sta,OSH,2005-11-03 - 2009-11-11,http://doi.org/10.17190/AMF/1246831
US-CF2,CRO,2017-05-10 - 2020-12-05,http://doi.org/10.17190/AMF/1543383
CH-Oe1,GRA,2003-04-18 - 2008-05-21,FLUXNET2015
CZ-wet,WET,2006-04-30 - 2014-10-02,FLUXNET2015
US-Jo2,OSH,2014-05-14 - 2020-12-31,http://doi.org/10.1002/ECS2.2000
JP-SMF,MF,2005-03-04 - 2006-12-19,FLUXNET2015
US-RGo,CRO,2021-06-22 - 2021-12-03,http://doi.org/10.17190/AMF/1880914
US-Atq,WET,2003-06-30 - 2008-09-03,FLUXNET2015
US-xTA,ENF,2018-01-20 - 2021-12-30,http://doi.org/10.17190/AMF/1671902
DE-Lnf,DBF,2002-08-26 - 2012-11-21,FLUXNET2015
US-xHA,DBF,2017-03-02 - 2021-12-19,http://doi.org/10.17190/AMF/1562391
US-Seg,GRA,2007-01-09 - 2021-12-29,http://doi.org/10.17190/AMF/1246124
US-NGC,GRA,2017-07-15 - 2019-08-28,http://doi.org/10.17190/AMF/1634883
US-Rms,CSH,2015-05-08 - 2020-09-30,FLUXNET2015
US-UMd,DBF,2008-04-28 - 2021-06-22,http://doi.org/10.17190/AMF/1246134
US-Ton,WSA,2002-07-04 - 2021-12-10,http://doi.org/10.1201/B10275-10
US-Wi2,ENF,2003-10-08 - 2003-10-18,http://doi.org/10.17190/AMF/1246017
US-xDC,GRA,2017-09-03 - 2021-11-11,http://doi.org/10.17190/AMF/1617728
CN-HaM,GRA,2002-07-18 - 2004-09-21,FLUXNET2015
US-Whs,OSH,2009-01-13 - 2020-12-28,FLUXNET2015
IT-MBo,GRA,2003-07-03 - 2013-06-19,FLUXNET2015
US-xSL,CRO,2019-06-04 - 2021-09-24,http://doi.org/10.17190/AMF/1617735
IT-Ren,ENF,2002-07-13 - 2013-12-20,FLUXNET2015
CZ-BK2,GRA,2006-07-01 - 2012-10-26,FLUXNET2015
US-xDJ,ENF,2019-03-09 - 2021-10-05,http://doi.org/10.17190/AMF/1634884
US-MOz,DBF,2004-06-17 - 2019-12-31,http://doi.org/10.17190/AMF/1246081
